번호,대화A,대화B,,,,,,,,,,,,,,,
42,가: 학교에서 집까지 뭐 타고 가?,나: 집이 가까우니까 그냥 걸어가.,,,,,,,,,,,,,,,
43,가: 군인으로 사는 것이 힘들지 않습니까?,나: 저는 이 직업을 천직으로 알고 묵묵히 걸어갈 것입니다.,,,,,,,,,,,,,,,
44,"가: 야, 유민이 어디 있는지 알아?",나: 저기 우리 쪽으로 걸어오고 있잖아.,,,,,,,,,,,,,,,
45,가: 정말 그 먼 길을 걸어온 거야?,나: 응. 차비가 없는데 별 수 있나.,,,,,,,,,,,,,,,
46,가: 그녀가 걸어온 길은 세계 피겨 스케이팅의 역사라고 할 수 있어.,나: 맞아. 그녀는 정말 세계 최고의 피겨 선수야.,,,,,,,,,,,,,,,
47,가: 지수가 정오가 다 된 이 시간까지 아직 잠자리에서 일어나지 않아요.,나: 이런 게으른 녀석을 다 봤나!,,,,,,,,,,,,,,,
48,가: 너 정말 그 일을 해야겠니?,"나: 어머니, 뭐라고 하셔도 제 결심에는 변함이 없어요.",,,,,,,,,,,,,,,
49,가: 이번 가족 여행은 어디로 가?,나: 글쎄. 그냥 부모님의 결정에 따르려고.,,,,,,,,,,,,,,,
50,가: 여행은 잘 다녀왔어?,"나: 응, 여기저기 다니면서 정말 많은 경험을 하고 돌아왔어.",,,,,,,,,,,,,,,
51,가: 너 대학 졸업하고 나서 어떻게 할지 계획은 정했니?,나: 응. 취직 준비하려고.,,,,,,,,,,,,,,,
52,가: 너 고개 좀 들어 봐. 어디서 이렇게 상처가 났니?,나: 아까 놀다가 다쳤어요.,,,,,,,,,,,,,,,
53,가: 생일 축하해. 선물을 준비하지 못해서 미안해.,나: 아니야. 기억해 준 것만으로도 정말 고마워.,,,,,,,,,,,,,,,
54,가: 혼자 힘들어하지 말고 고민이 있으면 다 털어놔.,나: 사실은 회사를 옮기는 것이 좋지 않을까 계속 갈등하고 있어요.,,,,,,,,,,,,,,,
55,가: 너 왜 이렇게 힘이 없어 보이니?,나: 하루 종일 굶어서 배가 고파서 그래.,,,,,,,,,,,,,,,
56,가: 올해도 우리 지역 축제가 아주 성공적이군요.,나: 네. 매년 우리 지역 축제를 찾는 관광객 수가 늘고 있어요.,,,,,,,,,,,,,,,
57,가: 내일부터 수영을 배워 보지 않을래?,"나: 싫어요, 엄마. 저는 운동에는 정말 관심이 없다니까요!",,,,,,,,,,,,,,,
58,가: 오늘 지수 생일이니까 깜짝 파티를 해 줄까?,나: 그거 괜찮다. 좋은 생각이야.,,,,,,,,,,,,,,,
59,가: 독감에 걸렸다더니 이제 괜찮아?,나: 응. 괜찮아. 다 나았어.,,,,,,,,,,,,,,,
60,가: 담배 좀 피워도 괜찮겠습니까?,나: 여기는 금연 구역이니 나가서 피우셔야 해요.,,,,,,,,,,,,,,,
61,가: 너는 내가 무슨 화장품을 쓰는지 왜 그렇게 궁금해하니?,나: 네 피부가 너무 좋아 보여서.,,,,,,,,,,,,,,,
62,"가: 민준아, 나는 네가 밥은 먹었나, 학교는 잘 갔나, 늘 궁금하다.","나: 걱정마세요, 어머니. 저는 잘 지내고 있어요.",,,,,,,,,,,,,,,
63,"가: 의사 선생님, 귀에서 윙윙하는 이상한 소리가 나요.",나: 저런. 귀에 문제가 있는 것 같으니 한번 검사를 해 보죠.,,,,,,,,,,,,,,,
64,가: 머리를 어떻게 잘라 드릴까요?,나: 귀 부근을 조금 덮을 정도로 예쁘게 다듬어 주세요.,,,,,,,,,,,,,,,
65,가: 이 책을 정말 많이 봤나 보구나. 손때가 묻고 귀가 다 닳았네.,나: 응. 난 그 고전이 좋아서 늘 손에 끼고 다니며 읽었거든.,,,,,,,,,,,,,,,
66,가: 이것 봐. 이 옷의 귀 부분이 다 늘어나 버렸어.,"나: 저런, 그거 이제 못 입겠다.",,,,,,,,,,,,,,,
67,가: 주머니를 오래 가지고 다녔더니 귀가 이렇게나 닳았어.,"나: 저런, 자칫하다간 내용물이 다 쏟아져 버리겠는데?",,,,,,,,,,,,,,,
68,가: 이 바늘은 귀에 실이 잘 안 들어가.,나: 이리 줘 봐. 내가 바늘에 실을 꿰어 줄게.,,,,,,,,,,,,,,,
69,가: 그릇이 참 많네요.,나: 각기 다른 용도가 있답니다. 특히 저기의 네 귀가 달린 화로는 불을 지필 때에 좋아요.,,,,,,,,,,,,,,,
70,가: 저 플룻을 전공하는 학생은 귀가 참 예민하더라.,나: 그렇지? 소리를 구별하는 데 뛰어난 재능이 있는 학생이야.,,,,,,,,,,,,,,,
71,가: 아이를 무조건 귀여워하면 아이가 어리광만 늘어요.,나: 네. 예쁘다고만 하지 않고 잘못을 하면 혼도 낼게요.,,,,,,,,,,,,,,,
72,가: 지수는 웃을 때 보조개가 살짝 들어가는 것이 정말 귀여워.,나: 그렇지? 지수는 웃을 때가 가장 예쁜 것 같아.,,,,,,,,,,,,,,,
73,"가: 승규야, 전화 받아.",나: 귀찮으니까 그냥 없다고 해.,,,,,,,,,,,,,,,
74,가: 요즘 왜 그렇게 표정이 안 좋니?,나: 고향이 그리워서 그래.,,,,,,,,,,,,,,,
75,가: 이렇게 조용한 섬에 살면 참 평화롭겠어요.,"나: 그렇기도 하지만, 때때로 너무 외로워서 사람이 그리워요.",,,,,,,,,,,,,,,
76,가: 어제 왜 결석을 했어요?,나: 급한 사정이 생겨서 학교에 올 수가 없었어요.,,,,,,,,,,,,,,,
77,가: 점심을 먹은 게 소화가 잘 안 되네요.,나: 급하게 드셔서 그런 것 같은데요.,,,,,,,,,,,,,,,
78,가: 시험 시간이 다가오니까 도무지 집중이 되지가 않아.,나: 마음이 급할수록 심호흡을 하면서 편하게 생각해 봐.,,,,,,,,,,,,,,,
79,"가: 선생님, 저희 어머니의 상태가 어떤가요?",나: 급한 고비는 넘겼으니 안심하셔도 되겠습니다.,,,,,,,,,,,,,,,
80,가: 쟤는 왜 이렇게 화를 잘 내니?,나: 성격이 워낙 급해서 사소한 일에도 화를 잘 내는 것 같아.,,,,,,,,,,,,,,,
81,가: 이 지역은 경사도 급하고 구불구불해서 사고가 빈번한 곳이에요.,나: 속도를 줄이고 안전하게 운전을 해야겠네요.,,,,,,,,,,,,,,,
82,가: 산에 올라오니 가슴이 확 트이고 기분이 상쾌해지네요.,"나: 네, 모든 걱정이 다 사라지는 것 같아요.",,,,,,,,,,,,,,,
83,가: 오늘만큼은 승리의 기분을 맘껏 느껴 봅시다.,나: 좋아요. 오늘은 즐겁게 우리의 승리를 축하합시다.,,,,,,,,,,,,,,,
84,가: 아내한테 무슨 선물을 주면 기뻐할까?,나: 그냥 넌지시 물어보면 어때?,,,,,,,,,,,,,,,
85,가: 우리가 이렇게 다시 만나게 되어서 정말 기뻐요.,나: 저도 정말 반갑고 기분 좋습니다.,,,,,,,,,,,,,,,
86,가: 아기가 정말 사랑스럽지요?,나: 네. 아기를 볼 때마다 기쁨을 감출 수가 없어요.,,,,,,,,,,,,,,,
87,가: 우리 만난 적 있지 않아요?,나: 그러고 보니 본 기억이 나는 것 같기도 해요.,,,,,,,,,,,,,,,
88,"가: 어머, 너 민준이로구나. 나 기억나니?","나: 와, 지수야. 우리 십 년 만에 보는구나. 정말 반갑다.",,,,,,,,,,,,,,,
89,가: 약을 먹어도 기침이 계속 나네요.,나: 심해지기 전에 병원에 가 보세요.,,,,,,,,,,,,,,,
90,가: 우리 이제 합창을 시작해 볼까요?,나: 그전에 기침으로 목청을 먼저 한 번 가다듬읍시다.,,,,,,,,,,,,,,,
91,가: 여긴 안전하니 긴장을 풀고 푹 쉬세요.,나: 네. 적군에게서 저를 숨겨 주셔서 고맙습니다.,,,,,,,,,,,,,,,
92,가: 오늘 회의 분위기가 너무 안 좋았어.,나: 응. 사장과 이사들 사이의 긴장이 여전히 풀리지 않는 것 같아.,,,,,,,,,,,,,,,
93,가: 추운 겨울에는 몸이 긴장이 되어 있기 때문에 운동 선수들의 부상이 잦은 것 같아요.,나: 네. 그래서 겨울에는 선수들이 시합에 나가기 전에 더 오랫동안 준비 운동을 합니다.,,,,,,,,,,,,,,,
94,가: 책상 위에 책을 둔 게 맞아?,나: 응. 가방에서 꺼내서 책상에 올려놓았어.,,,,,,,,,,,,,,,
95,가: 이 일은 입 밖에 절대 꺼내선 안 돼요.,나: 네. 죽을 때까지 비밀로 할게요.,,,,,,,,,,,,,,,
96,가: 모두들 이리로 나와 봐.,나: 왜? 뭐라도 있어?,,,,,,,,,,,,,,,
97,가: 이것 봐! 가지 끝에서 겨울눈이 나왔어.,나: 정말이네. 이제 나무가 겨울을 날 준비를 하나 보다.,,,,,,,,,,,,,,,
98,가: 내일 내가 너를 마중하러 갈게. 어디로 가면 되니?,나: 고속버스 정류장으로 나오면 돼.,,,,,,,,,,,,,,,
99,"가: 저 사람, 영화에 나온 그 배우 아니야?","나: 엇, 정말이네! 당장 사인 받으러 가자!",,,,,,,,,,,,,,,
100,"가: 김 사장, 이번에 정계에 나오기로 했다면서?",나: 예. 곧 열릴 국회의원 선거에 출마할 예정입니다.,,,,,,,,,,,,,,,
101,가: 제가 전에 말씀 드린 조건에 맞는 집이 부동산 시장에 나왔나요?,나: 아직요. 그 가격에 맞는 집을 구하기가 쉽지 않아서 말이에요.,,,,,,,,,,,,,,,
102,가: 혹시 김 과장님께서 회사에 나오셨나요?,나: 아뇨. 과장님은 아직 출근 전인데 무슨 일이시죠?,,,,,,,,,,,,,,,
103,가: 요즘 왜 동호회 모임에 나오지 않니?,나: 최근에 일이 좀 많아서 참석할 수가 없었어.,,,,,,,,,,,,,,,
104,가: 옷에서 거품이 안 나오게 잘 헹궈 놔.,나: 네. 안 그래도 물에 여러 번 빨고 있어요.,,,,,,,,,,,,,,,
105,가: 이것 봐요! 이 음식에서 머리카락이 나왔어요.,"나: 손님, 정말 죄송합니다. 당장 새 음식으로 교체해 드릴게요.",,,,,,,,,,,,,,,
106,가: 내 차가 오래되어서 시동이 잘 안 걸려.,나: 요즘 자동차 회사에서 좋은 차가 많이 나오던데 한번 알아보지 그래?,,,,,,,,,,,,,,,
107,가: 아무리 선한 의도에서 나왔다고 해도 거짓말은 옳지 않아.,나: 너는 정직한 게 제일이라고 생각하는구나.,,,,,,,,,,,,,,,
108,가: 대체 민준이는 방에서 뭘 한다니?,나: 그러게요. 도통 방을 나오지 않네요.,,,,,,,,,,,,,,,
109,가: 너 일을 그만두었다면서? 정말이야?,나: 응. 건강이 많이 안 좋아져서 회사를 나왔어.,,,,,,,,,,,,,,,
110,가: 만약 상대측에서 비협조적인 태도로 나오면 어떻게 할까요?,나: 그러면 더 이상 상대하지 말고 그냥 돌아와.,,,,,,,,,,,,,,,
111,가: 대체 제 병명이 뭔가요?,"나: 환자 분, 아직 진찰 결과가 나오지 않았으니 조금만 기다려 주세요.",,,,,,,,,,,,,,,
112,가: 아파트 관리비가 나왔어?,나: 응. 이달 말까지 십만 원을 내야 해.,,,,,,,,,,,,,,,
113,"가: 나 말이야, 곧 군대 가게 될지도 몰라.",나: 그래? 영장이라도 나왔어?,,,,,,,,,,,,,,,
114,가: 식사가 나왔으니 얼른 이리로 와.,나: 네. 곧 갈 테니 먼저 식사하세요.,,,,,,,,,,,,,,,
115,가: 실례지만 이 안과에 가려는데 어떻게 가면 되죠?,나: 저기 보이는 사거리 모퉁이에서 오른쪽으로 돌면 그 병원이 나올 거예요.,,,,,,,,,,,,,,,
116,가: 올해는 사업이 거의 망해 버렸네.,나: 그러게. 이래서 일꾼들 품삯도 안 나오게 생겼어.,,,,,,,,,,,,,,,
117,가: 텔레비전이 왜 흐리게 나올까?,나: 그러게. 고장이 났나?,,,,,,,,,,,,,,,
118,가: 너 요즘 배가 많이 나오는데?,나: 응. 운동을 좀 쉬었더니 뱃살이 늘어나고 있어.,,,,,,,,,,,,,,,
119,가: 왜 울고 그래?,나: 우리가 헤어진다고 생각하니 자꾸 눈물이 나와.,,,,,,,,,,,,,,,
120,가: 대학원을 나오셨다고요?,나: 네. 석사 학위를 받았지요.,,,,,,,,,,,,,,,
121,가: 공원에는 무슨 일이세요?,나: 그냥 산책 겸 나왔어요.,,,,,,,,,,,,,,,
122,가: 아직도 회의 중이니?,나: 응. 좋은 의견이 나오지 않아서 회의가 계속 길어지고 있어.,,,,,,,,,,,,,,,
123,가: 이 옷은 입으시면 날씬해 보여서 인기가 많아요.,나: 그럼 한번 입어 볼게요.,,,,,,,,,,,,,,,
124,가: 지금 입은 셔츠가 저한테 어울리나요?,나: 손님은 허리가 날씬해서 셔츠를 치마 안에 넣어 입어도 예쁘겠어요.,,,,,,,,,,,,,,,
125,가: 이번 수련회는 남녀를 구분하여서 조를 짠다고 하더라.,나: 정말이야? 나는 남자들끼리만 조 모임을 하고 싶진 않은데. 아쉽다.,,,,,,,,,,,,,,,
126,가: 요새 젊은 남자들은 여자처럼 외모를 열심히 관리하는 것 같아.,나: 맞아. 남성 화장품도 다양해지고 있고.,,,,,,,,,,,,,,,
127,가: 어제 유민이가 그만 실수로 남자 화장실에 들어갔었대.,나: 정말? 걔도 어지간히 급했나 보다. 볼일 보던 남자들은 갑자기 여자가 들어와서 깜짝 놀랐겠는데?,,,,,,,,,,,,,,,
128,가: 웬 남자 구두야?,나: 응. 오빠가 잠시 집에 들렀거든.,,,,,,,,,,,,,,,
129,가: 그는 정말 남자 중의 남자야.,나: 동감이야. 모든 남자들이 본받고 싶어 하는 사람이지.,,,,,,,,,,,,,,,
130,가: 전에 본 그 사람과 여전히 사귀고 있니?,나: 아니. 그 남자는 오래전에 차 버렸어.,,,,,,,,,,,,,,,
131,가: 바다가 참 예쁘다.,나: 우리 멀리서만 보지 말고 해안으로 내려가 보자.,,,,,,,,,,,,,,,
132,가: 부모님 선물은 갑자기 왜 사?,나: 이번 주말에 집에 좀 내려갔다 오려고.,,,,,,,,,,,,,,,
133,가: 파도가 너무 심해 더 이상 전진하는 것은 무리입니다.,나: 뱃머리를 돌려 남으로 내려가는 수밖에 없겠구나.,,,,,,,,,,,,,,,
134,가: 요즘 아들의 행동을 이해할 수가 없어서 자꾸 다투게 돼요.,나: 부모들은 아이들을 대할 때 아이들 눈높이로 내려가서 이해해 주어야 해요.,,,,,,,,,,,,,,,
135,가: 강강술래 같은 무형 유산은 꼭 보존되어야 해.,나: 응. 대대손손 이어져 내려가 우리 후대에도 꼭 기억되었으면 좋겠어.,,,,,,,,,,,,,,,
136,가: 먹은 게 내려가질 않아서 속이 너무 안 좋아.,나: 구토하거나 설사도 하니?,,,,,,,,,,,,,,,
137,가: 경기가 많이 좋아진 것 같아.,나: 응. 실업률도 많이 내려갔대.,,,,,,,,,,,,,,,
138,가: 이 피아노는 이상하게 음이 한 음씩 내려가 있는 것 같아.,나: 그래? 조율해야겠다.,,,,,,,,,,,,,,,
139,가: 여기 관리소가 어디죠?,나: 계단을 내려가셔서 왼쪽으로 돌면 보일 거예요.,,,,,,,,,,,,,,,
140,가: 이 기름 좀 지하실로 내려가거라.,나: 지하실 난로에 기름이 떨어졌어요?,,,,,,,,,,,,,,,
141,"가: 승규야, 너 나무 위에 그렇게 높이 올라가다가 다치면 어떻게 해? 어서 내려와.","나: 네, 곧 내려갈게요.",,,,,,,,,,,,,,,
142,가: 너 이번 주말에도 집에 못 내려와?,"나: 죄송해요, 엄마. 곧 시험이라 이번 주말에도 기숙사에 있어야 할 것 같아요.",,,,,,,,,,,,,,,
143,가: 그 가게에 어떻게 가야 하나요?,나: 지하철역 삼 번 출구에서 오 분 정도 내려오시다 보면 곧 저희 가게가 보일 거예요.,,,,,,,,,,,,,,,
144,가: 왜 이렇게 균형이 안 맞지?,나: 잘못했다가는 책장이 뒤로 넘어지겠다.,,,,,,,,,,,,,,,
145,가: 우리 회사가 이렇게 넘어질 줄이야.,나: 그러게. 이제 우리는 어떻게 해야 하나?,,,,,,,,,,,,,,,
146,가: 주머니에 손을 넣고 걸으니까 자꾸 넘어지지.,나: 이제부터는 주머니에서 손을 빼고 다녀야겠어요.,,,,,,,,,,,,,,,
147,가: 커피에 설탕은 얼마나 넣을까요?,나: 두 숟가락만 넣어 주세요.,,,,,,,,,,,,,,,
148,가: 여행 비용 계산한 것에서 빠진 건 없어?,나: 관광지 입장료도 계산에 넣어야 하는데 없네.,,,,,,,,,,,,,,,
149,가: 높은 곳에서 떨어지는 장면은 촬영하기 좀 위험하겠어요.,나: 그럼 컴퓨터 그래픽으로 특수 효과를 넣도록 하지요.,,,,,,,,,,,,,,,
150,가: 그 집 아이도 유치원에 넣을 때가 되었죠?,나: 네. 올해 다섯 살이니까 유치원에 보내야죠.,,,,,,,,,,,,,,,
151,가: 방이 좀 추운데 난방을 넣을까요?,나: 아까 넣었는데 온도를 좀 올려야겠네요.,,,,,,,,,,,,,,,
152,가: 오늘 보너스를 받았는데 어떻게 할까?,나: 가지고 있으면 자꾸 쓰게 되니까 은행에 넣어 둬.,,,,,,,,,,,,,,,
153,가: 외국 영화를 많이 보면 외국어 공부에 도움이 될까요?,나: 자막을 안 넣은 영화를 보는 것은 도움이 되겠지요.,,,,,,,,,,,,,,,
154,가: 문제를 객관적으로 볼 수 있는 다른 사람에게 조언을 구하는 게 어때요?,나: 제삼자를 넣으면 오히려 해결이 어렵지요.,,,,,,,,,,,,,,,
155,가: 방송국에서 아나운서 모집 공고가 났던데 지원했어요?,나: 지원서는 넣었는데 자신이 없네요.,,,,,,,,,,,,,,,
156,가: 어떻게 하면 공이 더 멀리 나갈까?,나: 공에 반동을 넣어서 한번 쳐 봐.,,,,,,,,,,,,,,,
157,가: 민준이는 성적도 좋지 않은데 어떻게 대기업에 입사했을까?,나: 대기업 임원인 아버지가 힘을 좀 넣었나 보지.,,,,,,,,,,,,,,,
158,가: 방바닥이 왜 이렇게 차가워요?,나: 아궁이에 불을 넣은 지 얼마 안 돼서 그래.,,,,,,,,,,,,,,,
159,가: 일주일 동안 휴가를 가니까 우유를 넣지 말아 주세요.,"나: 네, 그럼 일주일은 안 넣겠습니다.",,,,,,,,,,,,,,,
160,가: 어제 종일 밭에 호박 종자를 넣느라고 고생했네요.,나: 우리도 얼른 넣어야 되는데 큰일이네요.,,,,,,,,,,,,,,,
161,"가: 엄마, 요즘 할아버지가 컴퓨터를 배우신다는 게 정말이에요?",나: 응. 시에서 운영하는 노인 대학에 다니셔.,,,,,,,,,,,,,,,
162,가: 깜짝이야! 놀랐잖아. 그렇게 갑자기 나타나면 어떡하니?,나: 미안해. 난 그저 네가 반가워서 달려온 거야.,,,,,,,,,,,,,,,
163,가: 틈틈이 배운 내 플루트 연주가 어땠니?,나: 너에게 이런 재주도 있는 줄 몰랐네. 정말 놀랐어.,,,,,,,,,,,,,,,
164,"가: 어제 너 말이야, 술에 잔뜩 취해서 온갖 술주정을 다 부렸어!",나: 그러게. 나 스스로도 그런 짓을 저질렀다는 사실에 놀랄 뿐이야.,,,,,,,,,,,,,,,
165,가: 배가 많이 아프니?,나: 응. 너무 매운 걸 먹어서 속이 좀 놀랐나 봐.,,,,,,,,,,,,,,,
166,"가: 영수야, 엄마 손을 절대로 놓지 마.",나: 네. 꼭 잡고 갈게요.,,,,,,,,,,,,,,,
167,가: 할아버지는 요즘 일을 안 하셔?,나: 응. 밥벌이가 되지 않는다고 일손을 완전히 놓으셨어.,,,,,,,,,,,,,,,
168,가: 수술이 잘 끝났으니 한시름 놓으세요.,나: 네. 이제 걱정하지 말아야지요.,,,,,,,,,,,,,,,
169,가: 점당 얼마를 놓고 화투를 치는 거야?,나: 일 점당 십 원씩 걸었어.,,,,,,,,,,,,,,,
170,가: 김 박사의 발언을 놓고 말이 많더라.,나: 응. 좋다는 사람들도 있고 생각 없는 말이라고 생각하는 사람들도 있어.,,,,,,,,,,,,,,,
171,가: 수판을 여러 번 놨는데도 자꾸 계산이 틀리네.,나: 제가 한번 계산해 볼까요?,,,,,,,,,,,,,,,
172,가: 동네 아이들이 벽에 낙서를 하고서 달음질을 놓았어요.,나: 멀리 가지는 못했을 거예요. 제가 잡아 오지요.,,,,,,,,,,,,,,,
173,가: 할아버지의 병환이 점점 심해지신다면서?,나: 네. 얼른 병을 놓고 일어서셔야 할 텐데 계속 자리에 누워 계세요.,,,,,,,,,,,,,,,
174,가: 이 상자들은 어디에 둘까요?,나: 거기 문 앞에 놓고 가세요.,,,,,,,,,,,,,,,
175,가: 고속 도로를 놓으니 이동 시간이 빨라졌어.,나: 응. 이 고속 도로가 생기기 전에는 멀리 돌아서 가야 했는데.,,,,,,,,,,,,,,,
176,가: 매일 밤 산에서 멧돼지가 내려와서 우리 밭을 망쳐 놓고 있어요.,나: 튼튼한 덫을 놔서 멧돼지를 잡아 버립시다.,,,,,,,,,,,,,,,
177,가: 장롱에 자개를 놓으니 장롱이 훨씬 더 고급스러워 보이네요.,나: 그렇지요? 이 장롱은 그 자개 무늬 때문에 인기가 많답니다.,,,,,,,,,,,,,,,
178,가: 장작에 불을 좀 놔라.,나: 네. 쌓인 장작에 이 불씨를 던져 넣으면 되죠?,,,,,,,,,,,,,,,
179,가: 이불 속의 솜이 다 죽어서 이불이 납작해졌어.,나: 이불에 새 솜을 놓으면 새 이불처럼 쓸 수 있을 거야.,,,,,,,,,,,,,,,
180,가: 이제 요리가 다 완성된 건가요?,나: 아니요. 마지막으로 빵 위에 꿀 한 숟갈을 놓아서 마무리를 해야 돼요.,,,,,,,,,,,,,,,
181,가: 빈 화단에 화초를 놓으면 좋을 텐데요.,나: 그래요? 그럼 한번 화초를 심어 볼까요?,,,,,,,,,,,,,,,
